iteration,input_physics_iteration,output_physics_iteration,wait_local_write_sec,wait_scada_downlink_sec,logic_wait_sec,signal_read_actuators_sec,wait_actuator_read_sec,merge_actuator_state_sec,physics_step_publish_sec,write_cycle_logs_sec,cycle_total_sec,local_plc_count,actuator_count,physics_value_count
56,56,57,0.00545977900037542,0.03068068699212745,0.30033670499688014,0.00046073796693235636,0.010971155017614365,0.0012743030092678964,0.002484005002770573,0.003229708003345877,0.3550379339721985,8,11,30
57,57,58,0.005681966955307871,0.035939248977229,0.3003342369920574,0.0007994099869392812,0.010746565007138997,0.0013013010029681027,0.002032315998803824,0.00319862604374066,0.360192512976937,8,11,30
58,58,59,0.005454300960991532,0.035917959990911186,0.3004384600208141,0.0005313019501045346,0.010927393042948097,0.0013340130099095404,0.0020075880456715822,0.003207581990864128,0.35995553102111444,8,11,30
59,59,60,0.005549562978558242,0.036073725030291826,0.3001839970238507,0.0005205979687161744,0.010799776995554566,0.0013492759899236262,0.0020262670004740357,0.004083982028532773,0.3607520990190096,8,11,30
60,60,61,0.005470077972859144,0.03083326102932915,0.3002739099902101,0.0005357250338420272,0.010711756011005491,0.0012699069920927286,0.0021378729725256562,0.0033353249891661108,0.35471825004788116,8,11,30
61,61,62,0.0054360670037567616,0.030793686979450285,0.30032639199635014,0.0005110299680382013,0.010758171963971108,0.0014844799879938364,0.0024921619915403426,0.003520217025652528,0.35546991002047434,8,11,30
62,62,63,0.00556939298985526,0.03065337397856638,0.3004211309598759,0.0005213129916228354,0.01076289004413411,0.0013145330012775958,0.002000977983698249,0.0034796459949575365,0.3549137730151415,8,11,30
63,63,64,0.005537407007068396,0.03600051300600171,0.300338332017418,0.0004957300261594355,0.010658931045327336,0.0011912210029549897,0.001941126014571637,0.0034301310079172254,0.35976559802656993,8,11,30
64,64,65,0.0054421150125563145,0.03079976700246334,0.300425241002813,0.000595415011048317,0.010729364003054798,0.0003024200559593737,0.000504883995745331,0.0009530099923722446,0.3498346930136904,8,11,30
65,65,66,0.005182334978599101,0.03585362900048494,0.3002573929843493,0.0004917510086670518,0.01072467298945412,0.0012054480030201375,0.0020073879859410226,0.003552396025042981,0.359387700969819,8,11,30
66,66,67,0.005445496994070709,0.03578531899256632,0.30035789898829535,0.0004694619565270841,0.015836751030292362,0.0014363439986482263,0.0020059579983353615,0.0035679020220413804,0.36505007900996134,8,11,30
67,67,68,0.005451328004710376,0.030723058967851102,0.3000573000172153,0.00040586001705378294,0.0054113760124892,0.0006907369825057685,0.0011668300139717758,0.0030600499594584107,0.34708567103371024,8,11,30
68,68,69,0.005375287961214781,0.025557040993589908,0.30033641296904534,0.0005012669716961682,0.010748776025138795,0.0012258180067874491,0.0019915589946322143,0.004688749031629413,0.3505570979905315,8,11,30
69,69,70,0.00543959200149402,0.035891042032744735,0.30034199799411,0.0005677000153809786,0.010714060976170003,0.001323784003034234,0.0020990720367990434,0.003764909051824361,0.36028618802083656,8,11,30
70,70,71,0.005462594970595092,0.0359562179655768,0.300360778986942,0.0005115129752084613,0.01081075199181214,0.0012742209946736693,0.0020434820326045156,0.004974055977072567,0.36153902404475957,8,11,30
71,71,72,0.0003177439793944359,0.0358757019857876,0.3003238220117055,0.0002173819812014699,0.010414261021651328,0.0009879199787974358,0.0017001550295390189,0.002745238016359508,0.35270187800051644,8,11,30
72,72,73,0.005288718966767192,0.030789513024501503,0.3001000030199066,0.00046643102541565895,0.010718439007177949,0.0012480209697969258,0.002008860989008099,0.004687324981205165,0.3554278209921904,8,11,30
73,73,74,0.00554938695859164,0.03085084998747334,0.3003212779876776,0.00014338904293254018,0.005175049009267241,0.00030254898592829704,0.0005088659818284214,0.0008286830270662904,0.34379182499833405,8,11,30
74,74,75,0.005151861987542361,0.030656472023110837,0.3003369770012796,0.0005645700148306787,0.010793649009428918,0.0013406819780357182,0.0020300429896451533,0.004991841968148947,0.3559840609668754,8,11,30
75,75,76,0.0003149010008201003,0.04106565500842407,0.30040302098495886,0.0005118330009281635,0.010832589003257453,0.0014174989773891866,0.003914596978574991,0.00470552803017199,0.36330440902384,8,11,30
76,76,77,0.005398091045208275,0.025687755027320236,0.3003427530056797,0.000531519006472081,0.01073725800961256,0.0012711490271613002,0.0020706389914266765,0.005006686027627438,0.35118164197774604,8,11,30
77,77,78,0.005473143013659865,0.030873358948156238,0.300413551973179,0.0005307060200721025,0.01093415601644665,0.0012910100049339235,0.0019797139684669673,0.004195017972961068,0.3558498159982264,8,11,30
78,78,79,0.005742293957155198,0.03613626700825989,0.30042740498902276,0.000657671014778316,0.010937072045635432,0.0013005819637328386,0.002010486030485481,0.004230172955431044,0.36163062299601734,8,11,30
79,79,80,0.005577863019425422,0.030895304982550442,0.3003538490156643,0.0005219299928285182,0.005591180000919849,0.0012756320065818727,0.0021208749967627227,0.004333829972893,0.3508504329947755,8,11,30
80,80,81,0.005577460979111493,0.030949829961173236,0.3003397780121304,0.0009989530080929399,0.010777488991152495,0.001321610005106777,0.0021673549781553447,0.005710767989512533,0.35802808200242,8,11,30
81,81,82,0.0003765100263990462,0.03585168201243505,0.3003406469943002,0.0004800109891220927,0.010722609993536025,0.0012607050011865795,0.002041466999799013,0.004215331980958581,0.35544666001806036,8,11,30
82,82,83,0.0054245469509623945,0.035891062987502664,0.3004251820384525,0.0005737660103477538,0.010725506988819689,0.001280174998100847,0.002039728977251798,0.005450581025797874,0.3619593619951047,8,11,30
83,83,84,0.005490337032824755,0.03579669794999063,0.30023466801503673,0.0004484020173549652,0.010733122006058693,0.0012920559966005385,0.002188156999181956,0.005603027006145567,0.36193438596092165,8,11,30
84,84,85,0.00031645101262256503,0.0358887740294449,0.30033005797304213,0.0005052750348113477,0.010722151957452297,0.0011926270090043545,0.002257173997350037,0.004330352996475995,0.35567671403987333,8,11,30
85,85,86,0.005431965983007103,0.030803553003352135,0.30033200402976945,0.000498936977237463,0.00576875900151208,0.0012888070195913315,0.00245911703677848,0.004404587030876428,0.35121689504012465,8,11,30
86,86,87,0.005613935994915664,0.030938974989112467,0.30033052602084354,0.0004505850374698639,0.010689722024835646,0.0011574960080906749,0.0022430969984270632,0.004460520984139293,0.3560562679776922,8,11,30
87,87,88,0.00544767698738724,0.030744599003810436,0.30044861702481285,0.0005892179906368256,0.005628661019727588,0.0013301520375534892,0.0020078819943591952,0.004473915963899344,0.35081518499646336,8,11,30
88,88,89,0.005502382991835475,0.031005455006379634,0.3003309349878691,0.0004957930068485439,0.010719858983065933,0.0012672980083152652,0.0020618950366042554,0.0045573809766210616,0.3561059309868142,8,11,30
89,89,90,0.005428233998827636,0.030713346030097455,0.3003304539597593,0.00046172901056706905,0.010685372981242836,0.0014372430159710348,0.0019968239939771593,0.00462722999509424,0.35580881900386885,8,11,30
90,90,91,0.005447911971714348,0.037347334960941225,0.3004629679489881,0.0009488160139881074,0.010798644041642547,0.0012334060156717896,0.002069170994218439,0.00463086599484086,0.3630938239512034,8,11,30
91,91,92,0.005507023015525192,0.030960367002990097,0.30046312703052536,0.0007880329503677785,0.006190011976286769,0.002714846981689334,0.0025146559928543866,0.0046583759831264615,0.354008920956403,8,11,30
92,92,93,0.005559554963838309,0.03595260297879577,0.3004120760015212,0.0004906430258415639,0.010929537005722523,0.0013166540302336216,0.00201030500466004,0.004716461000498384,0.36155911901732907,8,11,30
93,93,94,0.005451302044093609,0.030975394998677075,0.3005886640166864,0.0005436550127342343,0.01075580803444609,0.0012615139712579548,0.0020837580086663365,0.004923810949549079,0.35676226700888947,8,11,30
94,94,95,0.0002758900518529117,0.04104821098735556,0.30034012597752735,0.000574636971578002,0.010728512017522007,0.0012448130291886628,0.0020608390332199633,0.004803418007213622,0.36121320398524404,8,11,30
95,95,96,0.005520892969798297,0.03083179797977209,0.300337751978077,0.0004925119574181736,0.010686181951314211,0.0011915909708477557,0.0020043529802933335,0.004854828002862632,0.3560905790072866,8,11,30
96,96,97,0.005429964978247881,0.03076433902606368,0.3003316639806144,0.00046089699026197195,0.010700177983380854,0.0012624459923245013,0.002010831027291715,0.004889913951046765,0.35597553703701124,8,11,30
97,97,98,0.005426652962341905,0.03069466899614781,0.30033666401868686,0.0004739569849334657,0.005580191966146231,0.0012165100197307765,0.0023248379584401846,0.0009710019803605974,0.3471342750126496,8,11,30
98,98,99,0.005215916957240552,0.03079894301481545,0.30028255202341825,0.0004672519862651825,0.010706276050768793,0.0012021290021948516,0.0022309200139716268,0.0049915629788301885,0.35601974301971495,8,11,30
99,99,100,0.005449049000162631,0.030773848993703723,0.3003316539688967,0.0005553369992412627,0.010813751025125384,0.00042101001599803567,0.000481861992739141,0.0010703380103223026,0.3499792609945871,8,11,30
