iteration,input_physics_iteration,output_physics_iteration,wait_local_write_sec,wait_scada_downlink_sec,logic_wait_sec,signal_read_actuators_sec,wait_actuator_read_sec,merge_actuator_state_sec,physics_step_publish_sec,write_cycle_logs_sec,cycle_total_sec,local_plc_count,actuator_count,physics_value_count
71,71,72,0.005149,0.030532,0.300321,0.000404,0.005242,0.000311,0.000483,0.000810,0.343306,8,11,30
72,72,73,0.005155,0.025444,0.300089,0.000723,0.005443,0.000816,0.001082,0.001165,0.339991,8,11,30
73,73,74,0.005159,0.030541,0.300255,0.000176,0.005192,0.000433,0.000587,0.000859,0.343254,8,11,30
74,74,75,0.005168,0.030553,0.300318,0.000305,0.005305,0.000621,0.001291,0.001469,0.345098,8,11,30
75,75,76,0.005260,0.030538,0.300330,0.000203,0.005189,0.000338,0.000870,0.000855,0.343648,8,11,30
76,76,77,0.005149,0.030401,0.300313,0.000177,0.005192,0.000399,0.000531,0.000911,0.343127,8,11,30
77,77,78,0.005158,0.030526,0.300328,0.000208,0.005199,0.000371,0.000557,0.000856,0.343260,8,11,30
78,78,79,0.005147,0.025381,0.300331,0.000193,0.010279,0.000297,0.000492,0.000855,0.343024,8,11,30
79,79,80,0.005138,0.025442,0.300147,0.000183,0.005196,0.000387,0.000514,0.001153,0.338206,8,11,30
80,80,81,0.005182,0.030548,0.300334,0.000220,0.005262,0.000327,0.000515,0.000966,0.343413,8,11,30
81,81,82,0.005154,0.030445,0.300221,0.000198,0.010310,0.000359,0.000627,0.000937,0.348309,8,11,30
82,82,83,0.005196,0.030644,0.300317,0.000246,0.005276,0.000349,0.000502,0.001239,0.343821,8,11,30
83,83,84,0.005207,0.030512,0.300330,0.000211,0.010330,0.000414,0.000604,0.000925,0.348593,8,11,30
84,84,85,0.005153,0.030541,0.300052,0.000232,0.005255,0.000457,0.000497,0.000934,0.343180,8,11,30
85,85,86,0.005153,0.025475,0.300312,0.000174,0.005183,0.000332,0.000584,0.000972,0.338232,8,11,30
86,86,87,0.005149,0.030501,0.300343,0.000339,0.010472,0.000917,0.000926,0.001773,0.350506,8,11,30
87,87,88,0.005198,0.030582,0.300313,0.000175,0.005197,0.000325,0.000502,0.000947,0.343298,8,11,30
88,88,89,0.005156,0.025515,0.300273,0.000368,0.005242,0.000541,0.000737,0.001251,0.339138,8,11,30
89,89,90,0.005136,0.030542,0.300328,0.000212,0.010262,0.000339,0.000497,0.000974,0.348338,8,11,30
90,90,91,0.005281,0.025536,0.300331,0.000214,0.010387,0.000341,0.000624,0.001287,0.344069,8,11,30
91,91,92,0.005156,0.025496,0.300315,0.000220,0.005226,0.000342,0.000496,0.000993,0.338291,8,11,30
92,92,93,0.005149,0.030484,0.300313,0.000205,0.005181,0.000341,0.000547,0.000991,0.343260,8,11,30
93,93,94,0.005166,0.025505,0.300319,0.000314,0.005225,0.000331,0.000566,0.001062,0.338539,8,11,30
94,94,95,0.005217,0.030534,0.300317,0.000282,0.010415,0.000687,0.001008,0.003415,0.351948,8,11,30
95,95,96,0.005281,0.025532,0.300468,0.000901,0.005674,0.001162,0.001110,0.001596,0.341821,8,11,30
96,96,97,0.005173,0.025449,0.300314,0.000193,0.010360,0.000352,0.000509,0.001037,0.343436,8,11,30
97,97,98,0.005142,0.030508,0.300053,0.000160,0.005195,0.000512,0.000962,0.001122,0.343703,8,11,30
98,98,99,0.005199,0.025471,0.300195,0.000175,0.010337,0.000360,0.000530,0.001493,0.343819,8,11,30
99,99,100,0.005157,0.025524,0.300217,0.000392,0.010515,0.000448,0.000534,0.001082,0.343921,8,11,30
