iteration,wait_local_write_markers_sec,poll_sec,read_physics_json_sec,downlink_sec,write_scada_csv_sec,write_outputs_and_marker_sec,cycle_total_sec,poll_md_total,poll_coil_total,poll_error_total,downlink_written_total,downlink_skipped_total,downlink_error_total
44,0.3251727870083414,0.01670415501575917,0.0003875279799103737,0.01443323801504448,0.001900220988318324,0.0006131819682195783,0.35927276097936556,35,0,0,6,0,0
45,0.3236546389525756,0.015521196997724473,0.00023231998784467578,0.012682445056270808,0.0013138719950802624,0.0004776860005222261,0.3539247940061614,35,0,0,6,0,0
46,0.3263576949830167,0.016158961050678045,0.0003875219845212996,0.014477561053354293,0.001923641946632415,0.0006360500119626522,0.3600041909958236,35,0,0,6,0,0
47,0.32365927303908393,0.015858417958952487,0.000278147985227406,0.012879153015092015,0.001081952010281384,0.0003311439650133252,0.3541420819819905,35,0,0,6,0,0
48,0.32314886996755376,0.015739780967123806,0.0002545600291341543,0.011428961006458849,0.0004815779975615442,0.00016400398453697562,0.3512683660374023,35,0,0,6,0,0
49,0.32703208399470896,0.017244345974177122,0.00040781701682135463,0.014332188991829753,0.0019015870057046413,0.0006384669686667621,0.3616259439731948,35,0,0,6,0,0
50,0.3227229090407491,0.018426184018608183,0.00029710400849580765,0.012852648040279746,0.0010559679940342903,0.00033802399411797523,0.3557516190339811,35,0,0,6,0,0
51,0.32509387499885634,0.016799478966277093,5.1010982133448124e-05,0.011259633000008762,0.0010487220133654773,0.0003298100200481713,0.3546095580095425,35,0,0,6,0,0
52,0.32895821100100875,0.01622263202443719,0.00022819999139755964,0.0128036750247702,0.001148577022831887,0.0004421030171215534,0.3598621339770034,35,0,0,6,0,0
53,0.33107354101957753,0.016554104979149997,0.00024325697449967265,0.012946018017828465,0.0010560790542513132,0.0003252939786761999,0.3622494009905495,35,0,0,6,0,0
54,0.31976456800475717,0.015756318985950202,0.0001637890236452222,0.011669378029182553,0.001094061997719109,0.0002861579996533692,0.34877583401976153,35,0,0,6,0,0
55,0.3281473689712584,0.017302807013038546,0.00038368295645341277,0.0133402330102399,0.00105489999987185,0.0003367249737493694,0.3606274409685284,35,0,0,6,0,0
56,0.32609628298087046,0.016923698014579713,0.0004088080022484064,0.01389470195863396,0.0010456530144438148,0.0003387949545867741,0.358772212988697,35,0,0,6,0,0
57,0.32581886200932786,0.016484602994751185,0.000377544027287513,0.014676050981506705,0.001923933974467218,0.0006160140037536621,0.3599572040257044,35,0,0,6,0,0
58,0.32597704796353355,0.019243956950958818,0.00046421296428889036,0.013236848986707628,0.0012543749762699008,0.00041190499905496836,0.36067341797752306,35,0,0,6,0,0
59,0.32551059301476926,0.016713824996259063,0.00023737800074741244,0.01288274402031675,0.001030982006341219,0.00033079396234825253,0.35675000498304144,35,0,0,6,0,0
60,0.32625727099366486,0.016199477948248386,0.00022524798987433314,0.01342833403032273,0.0010269309859722853,0.0003253439790569246,0.35751340800197795,35,0,0,6,0,0
61,0.32334395399084315,0.016005273966584355,0.0002791029983200133,0.012347560958005488,0.0010408410453237593,0.00033996504498645663,0.3534209320205264,35,0,0,6,0,0
62,0.3278949669911526,0.014147830952424556,7.865799125283957e-05,0.011045274964999408,0.0009120129980146885,0.0002963669830933213,0.35440878494409844,35,0,0,6,0,0
63,0.33022434497252107,0.015526675968430936,0.00022817798890173435,0.01276611996581778,0.0010290250065736473,0.00033441302366554737,0.36014907900244,35,0,0,6,0,0
64,0.32612127100583166,0.01569950202247128,0.000228976015932858,0.012803436955437064,0.00103176903212443,0.0003462790045887232,0.35627481096889824,35,0,0,6,0,0
65,0.32480610499624163,0.01668207097100094,0.000275310012511909,0.012511894048657268,0.001032338012009859,0.00034812098601832986,0.355700156011153,35,0,0,6,0,0
66,0.3253241169732064,0.01587944704806432,0.0003347449819557369,0.013144799042493105,0.001027143036480993,0.00033298396738246083,0.3560908809886314,35,0,0,6,0,0
67,0.3311273669824004,0.01806010998552665,0.00022754399105906487,0.013061878038570285,0.0008786659454926848,0.00031649303855374455,0.36371622601291165,35,0,0,6,0,0
68,0.3146575069986284,0.013406059995759279,9.309500455856323e-05,0.010256460984237492,0.00045768002746626735,0.00015765498392283916,0.33905423898249865,35,0,0,6,0,0
69,0.3273305050097406,0.015523062960710377,0.00022533000446856022,0.013854217948392034,0.0019127930281683803,0.0006288200384005904,0.3595186389866285,35,0,0,6,0,0
70,0.33103913901140913,0.01584422099404037,0.0002274269936606288,0.012900900968816131,0.0010168389999307692,0.0003339489921927452,0.361402350012213,35,0,0,6,0,0
71,0.32626028900267556,0.01631964702391997,0.00023522897390648723,0.012754472030792385,0.0010313469683751464,0.0003340800176374614,0.3569814899819903,35,0,0,6,0,0
72,0.3250649349647574,0.015053318988066167,0.0002188670332543552,0.012929574004374444,0.0010520030045881867,0.00037576700560748577,0.3547317630145699,35,0,0,6,0,0
73,0.32602650398621336,0.015490940015297383,0.00023417302872985601,0.012899365974590182,0.001027094025630504,0.00033814902417361736,0.35606416198424995,35,0,0,6,0,0
74,0.31392000295454636,0.012749304994940758,0.00016980798682197928,0.011778098996728659,0.0010558239882811904,0.000359601981472224,0.3400599980377592,35,0,0,6,0,0
75,0.3270158949890174,0.017408981977496296,0.000398385978769511,0.014220256998669356,0.0019132979796268046,0.0006464360048994422,0.3616672999924049,35,0,0,6,0,0
76,0.3269762620329857,0.014860690978821367,0.00026435498148202896,0.012129802023991942,0.0004625659785233438,0.00014130095951259136,0.35488152102334425,35,0,0,6,0,0
77,0.32543184398673475,0.016659521032124758,0.00023540400434285402,0.012993994983844459,0.0010355690028518438,0.0003604560042731464,0.3567573450272903,35,0,0,6,0,0
78,0.3271124190068804,0.016098147025331855,0.00023189099738374352,0.01285550300963223,0.001033604028634727,0.0003494220436550677,0.35772561002522707,35,0,0,6,0,0
79,0.33016792696435004,0.015892612980678678,0.00023204396711662412,0.012912845006212592,0.0010312909726053476,0.0003367090248502791,0.36062163300812244,35,0,0,6,0,0
80,0.3207960210274905,0.016245139006059617,7.94780207797885e-05,0.011927423998713493,0.0012631340068764985,0.0004073279560543597,0.35074917296878994,35,0,0,6,0,0
81,0.3253926479956135,0.01745156297693029,0.0002751729916781187,0.013301408034749329,0.0011095000081695616,0.0003686040290631354,0.35795391898136586,35,0,0,6,0,0
82,0.32517571904463693,0.015557803970295936,0.00023079197853803635,0.013502059038728476,0.001875396992545575,0.0006469130166806281,0.3570358020369895,35,0,0,6,0,0
83,0.32783861499046907,0.017041129991412163,0.0003891600063070655,0.01381656900048256,0.0019235950312577188,0.0007190380129031837,0.3617969260085374,35,0,0,6,0,0
